,增长,通胀,利率,信用,海外,美元
2010-07-25,-1.0,1.0,1.0,-1.0,1.0,-1.0
2010-08-01,-1.0,-1.0,1.0,1.0,1.0,-1.0
2010-08-08,-1.0,-1.0,1.0,1.0,1.0,-1.0
2010-08-15,-1.0,-1.0,1.0,1.0,1.0,1.0
2010-08-22,1.0,-1.0,1.0,1.0,1.0,1.0
2010-08-29,1.0,-1.0,1.0,1.0,1.0,1.0
2010-09-05,1.0,1.0,-1.0,1.0,1.0,1.0
2010-09-12,1.0,1.0,-1.0,1.0,1.0,1.0
2010-09-19,1.0,1.0,-1.0,1.0,1.0,1.0
2010-09-26,1.0,1.0,-1.0,1.0,1.0,-1.0
2010-10-03,1.0,1.0,-1.0,1.0,1.0,-1.0
2010-10-10,1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-10-17,1.0,1.0,1.0,1.0,1.0,-1.0
2010-10-24,1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-10-31,1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-11-07,1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-11-14,-1.0,1.0,-1.0,1.0,-1.0,1.0
2010-11-21,-1.0,1.0,-1.0,-1.0,-1.0,1.0
2010-11-28,-1.0,1.0,-1.0,-1.0,-1.0,1.0
2010-12-05,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2010-12-12,-1.0,-1.0,-1.0,-1.0,1.0,1.0
2010-12-19,-1.0,-1.0,-1.0,-1.0,1.0,1.0
2010-12-26,-1.0,-1.0,-1.0,-1.0,1.0,1.0
2011-01-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011-01-09,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-01-16,1.0,1.0,1.0,-1.0,1.0,-1.0
2011-01-23,1.0,1.0,-1.0,-1.0,1.0,-1.0
2011-01-30,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-02-06,1.0,1.0,-1.0,1.0,-1.0,-1.0
2011-02-13,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-02-20,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-02-27,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-03-06,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-03-13,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-03-20,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-03-27,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-04-03,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-04-10,-1.0,1.0,1.0,-1.0,1.0,-1.0
2011-04-17,-1.0,1.0,1.0,-1.0,1.0,-1.0
2011-04-24,1.0,-1.0,1.0,-1.0,-1.0,-1.0
2011-05-01,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011-05-08,1.0,1.0,-1.0,1.0,-1.0,-1.0
2011-05-15,1.0,1.0,-1.0,1.0,-1.0,-1.0
2011-05-22,1.0,1.0,-1.0,1.0,-1.0,-1.0
2011-05-29,1.0,1.0,-1.0,1.0,-1.0,-1.0
2011-06-05,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-06-12,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-06-19,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2011-06-26,-1.0,1.0,1.0,-1.0,-1.0,1.0
2011-07-03,1.0,1.0,-1.0,-1.0,1.0,1.0
2011-07-10,1.0,1.0,-1.0,-1.0,-1.0,1.0
2011-07-17,1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-07-24,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-07-31,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-08-07,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-08-14,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-08-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011-08-28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011-09-04,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-09-11,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-09-18,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2011-09-25,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-10-02,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-10-09,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-10-16,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-10-23,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-10-30,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-11-06,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-11-13,-1.0,-1.0,1.0,-1.0,1.0,1.0
2011-11-20,-1.0,-1.0,1.0,1.0,1.0,1.0
2011-11-27,-1.0,-1.0,1.0,1.0,1.0,-1.0
2011-12-04,-1.0,-1.0,1.0,1.0,1.0,-1.0
2011-12-11,-1.0,-1.0,1.0,1.0,1.0,-1.0
2011-12-18,-1.0,-1.0,1.0,1.0,-1.0,1.0
2011-12-25,-1.0,1.0,1.0,1.0,-1.0,1.0
2012-01-01,-1.0,1.0,1.0,1.0,-1.0,1.0
2012-01-08,-1.0,1.0,1.0,1.0,-1.0,1.0
